variable,label,ylabel,ptitle,name_trunc,reverse_coded
POLOPMAT,POLOPMAT: Agreement that: Police in this area are not dealing with the things that matter to people in this community,% Agreement,Agreement that:,Agree that police in this area are not dealing with the things that matter to people in this community,1
POLOPCON,POLOPCON: Agreement that: The police in this area listen to the concerns of local people,% Agreement,Agreement that:,Agree that police in this area listen to the concerns of local people,0
POLOPCOM,POLOPCOM: Agreement that: Community relations with the police in this local area are poor,% Agreement,Agreement that:,Agree that community relations with the police in this local area are poor,1
POLOPOVER,"POLOPOVER: Agreement that: Overall, people have a lot of confidence in the police in this area",% Agreement,Agreement that:,"Agree that overall, people have a lot of confidence in the police in this area",0
LCPEOP_01,LCPEOP_01: Agreement that: People in my local area cannot be trusted,% Agreement,Agreement that:,Agree that people in my local area cannot be trusted,1
LCPEOP_02,"LCPEOP_02: Agreement that: If my home was empty, I could count on one of my neighbours or other people in this area to keep an eye on it",% Agreement,Agreement that:,"Agree that if my home was empty, I could count on one of my neighbours or other people in this area to keep an eye on it",0
LCPEOP_03,LCPEOP_03: Agreement that: The people who live in my local area can be relied upon to call the police if someone is acting suspiciously,% Agreement,Agreement that:,Agree that people in my local area can be relied upon to call the police if someone is acting suspiciously,0
LCPEOP_04,LCPEOP_04: Agreement that: I have neighbours or other people in my local area I feel I could turn to for advice or support,% Agreement,Agreement that:,Agree that I have neighbours or other people in my local area I feel I could turn to for advice or support,0
LCPEOP_05,LCPEOP_05: Agreement that: People in this local area pull together to prevent crime,% Agreement,Agreement that:,Agree that people in my local area pull together to prevent crime,0
QACO_01,QACO_01: In local area how common is: PEOPLE HAVING THEIR CAR OR OTHER VEHICLES STOLEN?,% Common,In local area how common is:,In the local area it is common that people have their car or other vehicles stolen,1
QACO_02,QACO_02: In local area how common is: PEOPLE HAVING THINGS STOLEN FROM THEIR CAR OR OTHER VEHICLES?,% Common,In local area how common is:,In the local area it is common that people have things stolen from their car or other vehicles,1
QACO_03,QACO_03: In local area how common is: DELIBERATE DAMAGE TO PROPERTY OR VEHICLES?,% Common,In local area how common is:,In the local area it is common that there is deliberate damage to property or vehicles,1
QACO_04,QACO_04: In local area how common is: PEOPLE'S HOMES BEING BROKEN INTO?,% Common,In local area how common is:,In the local area it is common that people's homes are broken into,1
QACO_13,QACO_13: In local area how common is: DELIBERATE DAMAGE TO CARS OR OTHER VEHICLES?,% Common,In local area how common is:,In the local area it is common that there is deliberate damage to cars or other vehicles,1
QACO_14,QACO_14: In local area how common is: DELIBERATE DAMAGE TO PEOPLE'S HOMES BY VANDALS?,% Common,In local area how common is:,In the local area it is common that there is deliberate damage to people's homes by vandals,1
QACO_15,QACO_15: In local area how common is: PEOPLE BUYING OR SELLING SMUGGLED OR FAKE GOODS,% Common,In local area how common is:,In the local area it is common that people buy or sell smuggled or fake goods,1
QACO_05,QACO_05: In local area how common is: PEOPLE BEING MUGGED OR ROBBED?,% Common,In local area how common is:,In the local area it is common that people are mugged or robbed,1
QACO_06,QACO_06: In local area how common is: PEOPLE BEING PHYSICALLY ASSAULTED OR ATTACKED IN THE STREET OR OTHER PUBLIC PLACES?,% Common,In local area how common is:,In the local area it is common that people are physically assaulted or attacked in the street or other public places,1
QACO_07,"QACO_07: In local area how common is: PEOPLE BEING PHYSICALLY ATTACKED BECAUSE OF THEIR SKIN COLOUR, ETHNIC ORIGIN OR RELIGION?",% Common,In local area how common is:,"In the local area it is common that people are physically attacked because of their skin colour, ethnic origin or religion",1
QACO_08,QACO_08: In local area how common is: PEOPLE BEING SEXUALLY ASSAULTED?,% Common,In local area how common is:,In the local area it is common that people are sexually assaulted,1
QACO_09,QACO_09: In local area how common is: DRUG DEALING AND DRUG ABUSE?,% Common,In local area how common is:,In the local area it is common that there is drug dealing and drug abuse,1
QACO_10,QACO_10: In local area how common is: PEOPLE BEHAVING IN AN ANTI-SOCIAL MANNER IN PUBLIC?,% Common,In local area how common is:,In the local area it is common that people behave in an anti-social manner in public,1
QACO_11,QACO_11: In local area how common is: VIOLENCE BETWEEN GROUPS OF INDIVIDUALS OR GANGS?,% Common,In local area how common is:,In the local area it is common that there is violence between groups of individuals or gangs,1
QACO_12,QACO_12: In local area how common is: PEOPLE CARRYING KNIVES?,% Common,In local area how common is:,In the local area it is common that people carry knives,1
QHWORR_01,"QHWORR_01: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: Your ethnic origin or race? ",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of your ethnic origin or race",1
QHWORR_02,"QHWORR_02: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: Your religion?",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of your religion",1
QHWORR_03,"QHWORR_03: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: Sectarianism?",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of sectarianism",1
QHWORR_04,"QHWORR_04: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: Your sexual orientation?",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of your sexual orientation",1
QHWORR_05,"QHWORR_05: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: Your gender / gender identity or perception of this?",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of your gender / gender identity or perception of this",1
QHWORR_06,"QHWORR_06: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: A disability / condition you have?",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of a disability / condition you have",1
QHWORR_07,"QHWORR_07: How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of: Your age?",% Worried,"How much, if at all, do you, personally, worry about being insulted, pestered or intimidated on the basis of:","Worried about being insulted, pestered or intimidated on the basis of your age",1
PREVPROPERTY,PREVPROPERTY: Victim of property crime (prevalence),%,Victim of,Victim of property crime,1
PREVVIOLENT,PREVVIOLENT: Victim of violent crime including attempted assault (prevalence),%,Victim of,Victim of violent crime,1
PREVSURVEYCRIME,PREVSURVEYCRIME: Victim of a crime within the scope of the survey (prevalence),%,Victim of,Victim of any crime within the scope of the survey,1
